Time_number,Date,Agric,Food ,FabPr,Mach ,ElcEq,Autos,Guns ,Gold ,Mines,Coal 
88,01/11/1963,-0.004510155,-0.002002003,-0.002703652,-0.004309272,0.001199281,-0.017654935,9.9995E-05,-0.000100005,-0.013591954,-0.002904213
89,04/11/1963,0.00039992,-0.004309272,-0.006118681,-0.005917474,-0.010252376,-0.009545413,-0.015418253,-0.011162065,-0.009444459,-0.006621876
90,06/11/1963,-0.008032172,-0.000300045,-0.007830579,0.002197584,0.003693172,0.006975614,-0.002102208,0.009554213,0.006876304,0.007571265
91,07/11/1963,-0.00060018,-0.000500125,0.003792798,0.001998003,0.008364916,-0.00040008,0.035367144,-0.006319929,0.009257021,0.006180859
92,08/11/1963,-0.006118681,0.005385472,-0.002102208,0.006180859,0.003394233,0.001898197,0.008364916,-0.00250313,0.008959741,0.009554213
93,11/11/1963,0.000899595,-0.001400981,-0.008838949,-0.000700245,-0.01349059,-0.006521217,0.013902905,-0.007830579,-0.004610613,-0.003907625
94,12/11/1963,0.033531483,0.004191205,-0.0062193,0,-0.00250313,-0.002102208,-0.004912044,0.007472015,0.00079968,-0.008233805
95,13/11/1963,0.002995509,-0.001801622,0.009356095,-0.002603386,-0.0010005,-0.014809116,0.00039992,-0.003506139,-0.004208845,-0.013389237
96,14/11/1963,0.024009452,-0.004208845,-0.010050336,-0.005012542,-0.007830579,-0.022654691,-0.010050336,-0.003405793,0.003095205,-0.00040008
97,15/11/1963,-0.019896632,-0.008939842,0.003493889,-0.008132983,-0.006018072,-0.001300846,-0.015418253,-0.000900405,-0.017756722,-0.004208845
98,18/11/1963,-0.0062193,0.003095205,-0.011870173,0.001199281,-0.003305457,0.011434378,-0.004309272,-0.003807238,0.004191205,-0.0010005
99,19/11/1963,-0.008132983,-0.002904213,0.000699755,0.003693172,-0.004510155,0.000299955,0.002297359,0.006478966,0.010841023,0.002596626
100,20/11/1963,-0.024190239,-0.004409708,-0.014809116,-0.015926151,-0.005515181,-0.02388294,-0.021530119,-0.005816885,0.001698557,-0.010353412
101,21/11/1963,0.003095205,-0.021938908,-0.019692633,-0.028193734,-0.055618424,-0.037286585,-0.025010163,-0.019488677,-0.043638457,-0.006823225
102,22/11/1963,-0.005615739,0.021467907,0.036331929,0.027517886,0.051548262,0.058740495,0.025375306,0.007769737,0.044303926,0.019802627
103,26/11/1963,-0.001901807,-0.001100605,0.001898197,0.002197584,0.002397125,-0.00471108,0.005385472,-0.001901807,-0.002002003,-0.001200721
104,27/11/1963,-0.007830579,0.01064316,0.009157938,0.016955441,0.024595047,0.007472015,0.038739828,-0.003004509,0.024595047,0.02039069
105,29/11/1963,0.021467907,0.002297359,0.002596626,0.002995509,-0.001501126,0.004290781,-0.009242581,-0.002402885,0.001498876,0.005186527
106,02/12/1963,-0.004208845,0.00039992,0.00548493,-0.001200721,-0.008637193,-0.006018072,-0.009444459,-0.00020002,0.006975614,0.003992021
107,03/12/1963,0.019312311,0.006478966,-0.003405793,0.004390348,-0.011667805,0.005186527,-0.014301785,0.002397125,0.006180859,0.003194891
108,04/12/1963,0.003792798,0.002197584,0.004290781,0.005385472,-0.001100605,0.001698557,-0.001801622,-0.003706862,0.013607003,0.023618866
109,05/12/1963,0.006876304,-0.002102208,0.006776984,0.002596626,-0.007427516,-0.012072581,-0.003004509,0.006776984,-0.006420568,0.007769737
110,06/12/1963,-0.005414633,-0.001801622,-0.006521217,0.001698557,-0.001300846,0.005584378,-0.004008021,-0.006621876,-0.001200721,-0.008536331
111,09/12/1963,-0.006319929,-0.000300045,0.004987542,0.000299955,-0.013186562,0.005882663,-0.008334637,-0.004008021,0.003792798,0.00059982
112,10/12/1963,-0.002603386,-0.001901807,-0.012781334,-0.003205131,0.010247316,-0.010050336,0.002097798,0.007769737,0.00019998,0.00039992
113,11/12/1963,-0.009343515,0.001498876,-0.01136433,-0.001100605,0.003493889,-0.003104815,0.011632084,-0.000500125,-0.008233805,-0.003205131
114,12/12/1963,-0.003807238,0.00059982,-0.006823225,-0.000500125,0.003394233,0.0009995,-0.007528266,-0.0062193,0.003992021,0.017839918
115,13/12/1963,0.009058844,0.00039992,0.009851316,0.001498876,-0.000500125,0.008067371,-0.002803927,-0.003606496,0.001598721,0.009257021
116,16/12/1963,-0.014098924,0.003693172,-0.0062193,0.001998003,-0.005012542,0.022739487,-0.006018072,-0.000300045,0.001898197,-0.002302649
117,17/12/1963,0.000499875,0.000699755,-0.010252376,-0.00040008,-0.004610613,-0.019692633,-0.020202707,-0.003606496,0.003892415,-0.004811557
118,18/12/1963,0.010742097,-0.003405793,-0.004208845,-0.004409708,-0.002402885,-0.009343515,-0.004309272,-0.002202424,0.001099395,-0.011263192
119,19/12/1963,-0.00080032,-0.00060018,-0.005414633,-0.003004509,-0.009141658,-0.011870173,0.002297359,-0.002803927,0.001898197,0.002596626
120,20/12/1963,-0.01308524,-0.006823225,-0.001501126,-0.002302649,0.0009995,-0.009040745,-0.009040745,0.00079968,0.000499875,-0.009343515
121,23/12/1963,0.01557803,0.000899595,0.003593536,9.9995E-05,0.004688989,0.01960653,0.006379607,0.006280238,-0.002002003,0.002995509
122,24/12/1963,0.009455159,0.005186527,0.006776984,0.005087039,0.015381102,0.000299955,-0.003807238,-0.001200721,0.013705647,0.006578315
123,26/12/1963,-0.008132983,0.006677655,0.01439588,0.004091618,0.00019998,-0.00793137,0.001299156,0.026739297,0.003593536,0.001099395
124,27/12/1963,0.005186527,0.004788517,0.018232768,-0.002402885,-0.010252376,0.004987542,-0.006722546,0.020586634,0.003593536,0.008761506
125,30/12/1963,-0.002002003,0.005186527,0.001199281,0.007074914,0.012718772,9.9995E-05,-0.00040008,0.001199281,0.015085637,-0.001701447
126,31/12/1963,-0.008233805,-0.000700245,0.015479571,0.007472015,0.005584378,0.017250353,-0.003606496,0.008067371,0.006975614,-0.005816885
127,02/01/1964,0.014494446,0.003493889,0.013212331,0.002596626,0.001798382,-0.002904213,-0.003506139,0.009851316,0.003792798,0.009653257
128,03/01/1964,0,0.004390348,-0.000500125,0.003593536,-0.001901807,-0.008536331,0.000699755,-0.004309272,0.000299955,0.00249688
